epoch,lr,lr-Adam,step,train_loss_epoch,train_loss_step,val_loss
,,0.001,0,,,
,,0.001,99,,,
0,,,99,,0.5258480906486511,
0,0.001000000978820026,,179,0.48984310030937195,,
,,0.001,180,,,
,,0.001,199,,,
1,,,199,,0.4375566244125366,
,,0.001,299,,,
1,,,299,,0.4212895631790161,
1,0.001000000978820026,,359,0.45738455653190613,,
,,0.001,360,,,
,,0.001,399,,,
2,,,399,,0.40586012601852417,
,,0.001,499,,,
2,,,499,,0.4113979935646057,
2,0.001000000978820026,,539,0.4318499267101288,,
,,0.001,540,,,
,,0.001,599,,,
3,,,599,,0.4162977933883667,
,,0.001,699,,,
3,,,699,,0.41375070810317993,
3,0.001000000978820026,,719,0.41309043765068054,,
,,0.001,720,,,
,,0.001,799,,,
4,,,799,,0.3712887763977051,
,,0.001,899,,,
4,,,899,,0.373261034488678,
4,,,899,,,0.39985641837120056
4,0.001000000978820026,,899,0.3996024429798126,,
,,0.001,900,,,
,,0.001,999,,,
5,,,999,,0.40257906913757324,
5,0.001000000978820026,,1079,0.3902915120124817,,
,,0.001,1080,,,
,,0.001,1099,,,
6,,,1099,,0.40428125858306885,
,,0.001,1199,,,
6,,,1199,,0.3517671227455139,
6,0.001000000978820026,,1259,0.38124457001686096,,
,,0.001,1260,,,
,,0.001,1299,,,
7,,,1299,,0.36447644233703613,
,,0.001,1399,,,
7,,,1399,,0.365991473197937,
7,0.001000000978820026,,1439,0.3705001473426819,,
,,0.001,1440,,,
,,0.001,1499,,,
8,,,1499,,0.36069047451019287,
,,0.001,1599,,,
8,,,1599,,0.33970725536346436,
8,0.001000000978820026,,1619,0.36234602332115173,,
,,0.001,1620,,,
,,0.001,1699,,,
9,,,1699,,0.37257444858551025,
,,0.001,1799,,,
9,,,1799,,0.379189670085907,
9,,,1799,,,0.3582664430141449
9,0.001000000978820026,,1799,0.35520195960998535,,
,,0.001,1800,,,
,,0.001,1899,,,
10,,,1899,,0.3541131019592285,
10,0.001000000978820026,,1979,0.3476630747318268,,
,,0.001,1980,,,
,,0.001,1999,,,
11,,,1999,,0.3473755121231079,
,,0.001,2099,,,
11,,,2099,,0.38448137044906616,
11,0.001000000978820026,,2159,0.3438516855239868,,
,,0.001,2160,,,
,,0.001,2199,,,
12,,,2199,,0.341830849647522,
,,0.001,2299,,,
12,,,2299,,0.33755290508270264,
12,0.001000000978820026,,2339,0.3350256085395813,,
,,0.001,2340,,,
,,0.001,2399,,,
13,,,2399,,0.3321852684020996,
,,0.001,2499,,,
13,,,2499,,0.31979799270629883,
13,0.001000000978820026,,2519,0.3253262937068939,,
,,0.001,2520,,,
,,0.001,2599,,,
14,,,2599,,0.333204448223114,
,,0.001,2699,,,
14,,,2699,,0.28346627950668335,
14,,,2699,,,0.3117083013057709
14,0.001000000978820026,,2699,0.31720006465911865,,
,,0.001,2700,,,
,,0.001,2799,,,
15,,,2799,,0.27467232942581177,
15,0.001000000978820026,,2879,0.3089790344238281,,
,,0.001,2880,,,
,,0.001,2899,,,
16,,,2899,,0.3195025324821472,
,,0.001,2999,,,
16,,,2999,,0.3174717426300049,
16,0.001000000978820026,,3059,0.3060288429260254,,
,,0.001,3060,,,
,,0.001,3099,,,
17,,,3099,,0.2936532497406006,
,,0.001,3199,,,
17,,,3199,,0.27743279933929443,
17,0.001000000978820026,,3239,0.3014872968196869,,
,,0.001,3240,,,
,,0.001,3299,,,
18,,,3299,,0.3037380576133728,
,,0.001,3399,,,
18,,,3399,,0.2435908317565918,
18,0.001000000978820026,,3419,0.29211312532424927,,
,,0.001,3420,,,
,,0.001,3499,,,
19,,,3499,,0.2836970090866089,
,,0.001,3599,,,
19,,,3599,,0.2450343370437622,
19,,,3599,,,0.277075856924057
19,0.001000000978820026,,3599,0.2851058542728424,,
,,0.001,3600,,,
,,0.001,3699,,,
20,,,3699,,0.30973881483078003,
20,0.001000000978820026,,3779,0.2785890996456146,,
,,0.001,3780,,,
,,0.001,3799,,,
21,,,3799,,0.24337059259414673,
,,0.001,3899,,,
21,,,3899,,0.30162370204925537,
21,0.001000000978820026,,3959,0.2756231725215912,,
,,0.001,3960,,,
,,0.001,3999,,,
22,,,3999,,0.2533888816833496,
,,0.001,4099,,,
22,,,4099,,0.2752821445465088,
22,0.001000000978820026,,4139,0.2699993848800659,,
,,0.001,4140,,,
,,0.001,4199,,,
23,,,4199,,0.252691388130188,
,,0.001,4299,,,
23,,,4299,,0.2696651220321655,
23,0.001000000978820026,,4319,0.2715166509151459,,
,,0.001,4320,,,
,,0.001,4399,,,
24,,,4399,,0.28845393657684326,
,,0.001,4499,,,
24,,,4499,,0.26689666509628296,
24,,,4499,,,0.25527265667915344
24,0.001000000978820026,,4499,0.26470279693603516,,
,,0.001,4500,,,
,,0.001,4599,,,
25,,,4599,,0.2910430431365967,
25,0.001000000978820026,,4679,0.2571059465408325,,
,,0.001,4680,,,
,,0.001,4699,,,
26,,,4699,,0.24772238731384277,
,,0.001,4799,,,
26,,,4799,,0.2623293399810791,
26,0.001000000978820026,,4859,0.2553332448005676,,
,,0.001,4860,,,
,,0.001,4899,,,
27,,,4899,,0.2343820333480835,
,,0.001,4999,,,
27,,,4999,,0.2553275227546692,
27,0.001000000978820026,,5039,0.25353574752807617,,
,,0.001,5040,,,
,,0.001,5099,,,
28,,,5099,,0.28291845321655273,
,,0.001,5199,,,
28,,,5199,,0.2251877784729004,
28,0.001000000978820026,,5219,0.26137909293174744,,
,,0.001,5220,,,
,,0.001,5299,,,
29,,,5299,,0.2654584050178528,
,,0.001,5399,,,
29,,,5399,,0.2727472186088562,
29,,,5399,,,0.26310235261917114
29,0.001000000978820026,,5399,0.26010531187057495,,
,,0.001,5400,,,
,,0.001,5499,,,
30,,,5499,,0.2595101594924927,
30,0.001000000978820026,,5579,0.25775468349456787,,
,,0.001,5580,,,
,,0.001,5599,,,
31,,,5599,,0.2574796676635742,
,,0.001,5699,,,
31,,,5699,,0.254469633102417,
31,0.001000000978820026,,5759,0.2543145716190338,,
,,0.001,5760,,,
,,0.001,5799,,,
32,,,5799,,0.27767425775527954,
,,0.001,5899,,,
32,,,5899,,0.2484222650527954,
32,0.001000000978820026,,5939,0.25183096528053284,,
,,0.001,5940,,,
,,0.001,5999,,,
33,,,5999,,0.25317955017089844,
,,0.001,6099,,,
33,,,6099,,0.252285361289978,
33,0.001000000978820026,,6119,0.2462448924779892,,
,,0.001,6120,,,
,,0.001,6199,,,
